row  number,age,work sector,salery,savings,Food expenses (month),zip code,other expenses (month),educaion years,economic class
1,35,C,3884,8084,823,26248,2319,15,2
2,47,A,5542,44663,958,19460,1766,15,4
3,44,A,5249,14991,938,19606,1503,14,4
4,35,E,7598,24363,2188,29328,1534,15,7
5,35,C,3290,169,766,26215,1512,17,2
6,43,B,8047,12699,1266,22489,1307,23,7
7,38,A,5326,23045,752,19407,1559,15,4
8,40,E,8074,85556,1955,29063,1990,17,7
9,40,A,4849,32086,1338,12374,1426,17,4
10,42,D,1359,2728,463,28032,1683,13,0
11,57,C,2770,4104,767,25087,1750,16,2
12,32,E,8977,59345,1810,29066,1378,20,8
13,40,D,2107,5302,482,28036,1881,11,1
14,37,B,7902,10458,1199,22701,1543,20,7
15,37,A,5553,28724,978,12428,2346,18,4
16,34,C,3306,7775,895,24780,1871,15,2
17,37,D,2724,6826,489,28204,2007,22,1
18,45,B,8548,38594,1074,23053,1422,16,8
19,32,D,2899,6927,594,28237,2451,12,1
20,42,D,2089,4373,543,27940,2097,10,0
21,55,E,5811,54193,1540,29809,1237,19,5
22,40,E,8765,118084,1764,29351,1654,21,8
23,52,A,4657,15344,654,19681,1941,21,3
24,34,B,6507,19334,1275,23234,1446,17,6
25,37,D,663,1042,499,27939,1474,13,0
26,51,C,3221,12356,622,26206,1291,17,2
27,41,B,7424,23461,1037,22426,1655,19,6
28,42,B,6466,19532,1125,22803,2534,18,4
29,33,E,7527,48819,1450,29198,1372,20,7
30,38,B,7879,32920,1127,23244,1614,18,7
31,70,E,7913,62781,1964,29642,1238,18,7
32,29,E,7432,64464,1879,29093,1761,19,6
33,46,D,3221,3581,496,28248,1653,13,2
34,34,B,6533,36607,1266,23216,1682,19,5
35,36,A,5319,29582,1305,17287,1597,13,4
36,35,A,4757,38752,767,18088,2004,18,3
37,41,B,6936,11229,1142,23166,2206,12,5
38,64,E,8616,22957,2096,29277,1649,21,7
39,27,D,3570,6932,472,28245,2409,14,2
40,53,C,3811,7907,864,24487,1232,15,3
41,32,A,4457,25578,958,20319,2357,16,3
42,40,E,7885,77041,2266,29110,1159,19,7
43,30,C,3343,5317,572,26696,1918,18,2
